"CustomerKey","GeographyKey","CustomerAlternateKey","Title","FirstName","MiddleName","LastName","NameStyle","BirthDate","MaritalStatus","Suffix","Gender","EmailAddress","YearlyIncome","TotalChildren","NumberChildrenAtHome","EnglishEducation","SpanishEducation","FrenchEducation","EnglishOccupation","SpanishOccupation","FrenchOccupation","HouseOwnerFlag","NumberCarsOwned","AddressLine1","AddressLine2","Phone","DateFirstPurchase","CommuteDistance"
"11000","26","AW00011000","","Jon","V","Yang","0","1971-10-06","M","","M","jon24@adventure-works.com","90000.0000","2","0","Bachelors","Licenciatura","Bac + 4","Professional","Profesional","Cadre","1","0","3761 N. 14th St","","1 (11) 500 555-0162","2011-01-19","1-2 Miles"
"11001","37","AW00011001","","Eugene","L","Huang","0","1976-05-10","S","","M","eugene10@adventure-works.com","60000.0000","3","3","Bachelors","Licenciatura","Bac + 4","Professional","Profesional","Cadre","0","1","2243 W St.","","1 (11) 500 555-0110","2011-01-15","0-1 Miles"
"11002","31","AW00011002","","Ruben","","Torres","0","1971-02-09","M","","M","ruben35@adventure-works.com","60000.0000","3","3","Bachelors","Licenciatura","Bac + 4","Professional","Profesional","Cadre","1","1","5844 Linden Land","","1 (11) 500 555-0184","2011-01-07","2-5 Miles"
"11003","11","AW00011003","","Christy","","Zhu","0","1973-08-14","S","","F","christy12@adventure-works.com","70000.0000","0","0","Bachelors","Licenciatura","Bac + 4","Professional","Profesional","Cadre","0","1","1825 Village Pl.","","1 (11) 500 555-0162","2010-12-29","5-10 Miles"
"11004","19","AW00011004","","Elizabeth","","Johnson","0","1979-08-05","S","","F","elizabeth5@adventure-works.com","80000.0000","5","5","Bachelors","Licenciatura","Bac + 4","Professional","Profesional","Cadre","1","4","7553 Harness Circle","","1 (11) 500 555-0131","2011-01-23","1-2 Miles"
"11005","22","AW00011005","","Julio","","Ruiz","0","1976-08-01","S","","M","julio1@adventure-works.com","70000.0000","0","0","Bachelors","Licenciatura","Bac + 4","Professional","Profesional","Cadre","1","1","7305 Humphrey Drive","","1 (11) 500 555-0151","2010-12-30","5-10 Miles"
"11006","8","AW00011006","","Janet","G","Alvarez","0","1976-12-02","S","","F","janet9@adventure-works.com","70000.0000","0","0","Bachelors","Licenciatura","Bac + 4","Professional","Profesional","Cadre","1","1","2612 Berry Dr","","1 (11) 500 555-0184","2011-01-24","5-10 Miles"
"11007","40","AW00011007","","Marco","","Mehta","0","1969-11-06","M","","M","marco14@adventure-works.com","60000.0000","3","3","Bachelors","Licenciatura","Bac + 4","Professional","Profesional","Cadre","1","2","942 Brook Street","","1 (11) 500 555-0126","2011-01-09","0-1 Miles"
"11008","32","AW00011008","","Rob","","Verhoff","0","1975-07-04","S","","F","rob4@adventure-works.com","60000.0000","4","4","Bachelors","Licenciatura","Bac + 4","Professional","Profesional","Cadre","1","3","624 Peabody Road","","1 (11) 500 555-0164","2011-01-25","10+ Miles"
"11009","25","AW00011009","","Shannon","C","Carlson","0","1969-09-29","S","","M","shannon38@adventure-works.com","70000.0000","0","0","Bachelors","Licenciatura","Bac + 4","Professional","Profesional","Cadre","0","1","3839 Northgate Road","","1 (11) 500 555-0110","2011-01-27","5-10 Miles"
"11010","22","AW00011010","","Jacquelyn","C","Suarez","0","1969-08-05","S","","F","jacquelyn20@adventure-works.com","70000.0000","0","0","Bachelors","Licenciatura","Bac + 4","Professional","Profesional","Cadre","0","1","7800 Corrinne Court","","1 (11) 500 555-0169","2011-01-14","5-10 Miles"
"11011","22","AW00011011","","Curtis","","Lu","0","1969-05-03","M","","M","curtis9@adventure-works.com","60000.0000","4","4","Bachelors","Licenciatura","Bac + 4","Professional","Profesional","Cadre","1","4","1224 Shoenic","","1 (11) 500 555-0117","2010-12-30","10+ Miles"
"11012","611","AW00011012","","Lauren","M","Walker","0","1979-01-14","M","","F","lauren41@adventure-works.com","100000.0000","2","0","Bachelors","Licenciatura","Bac + 4","Management","Gestión","Direction","1","2","4785 Scott Street","","717-555-0164","2013-03-16","1-2 Miles"
"11013","543","AW00011013","","Ian","M","Jenkins","0","1979-08-03","M","","M","ian47@adventure-works.com","100000.0000","2","0","Bachelors","Licenciatura","Bac + 4","Management","Gestión","Direction","1","3","7902 Hudson Ave.","","817-555-0185","2013-04-13","0-1 Miles"
"11014","634","AW00011014","","Sydney","","Bennett","0","1973-11-06","S","","F","sydney23@adventure-works.com","100000.0000","3","0","Bachelors","Licenciatura","Bac + 4","Management","Gestión","Direction","0","3","9011 Tank Drive","","431-555-0156","2013-03-23","1-2 Miles"
"11015","301","AW00011015","","Chloe","","Young","0","1984-08-26","S","","F","chloe23@adventure-works.com","30000.0000","0","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual","Obrero especializado","Technicien","0","1","244 Willow Pass Road","","208-555-0142","2013-01-18","5-10 Miles"
"11016","329","AW00011016","","Wyatt","L","Hill","0","1984-10-25","M","","M","wyatt32@adventure-works.com","30000.0000","0","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual","Obrero especializado","Technicien","1","1","9666 Northridge Ct.","","135-555-0171","2013-02-09","5-10 Miles"
"11017","39","AW00011017","","Shannon","","Wang","0","1949-12-24","S","","F","shannon1@adventure-works.com","20000.0000","4","0","High School","Educación secundaria","Bac + 2","Skilled Manual","Obrero especializado","Technicien","1","2","7330 Saddlehill Lane","","1 (11) 500 555-0195","2011-01-12","5-10 Miles"
"11018","32","AW00011018","","Clarence","D","Rai","0","1955-10-06","S","","M","clarence32@adventure-works.com","30000.0000","2","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé","1","2","244 Rivewview","","1 (11) 500 555-0137","2011-01-17","5-10 Miles"
"11019","52","AW00011019","","Luke","L","Lal","0","1983-09-04","S","","M","luke18@adventure-works.com","40000.0000","0","0","High School","Educación secundaria","Bac + 2","Skilled Manual","Obrero especializado","Technicien","0","2","7832 Landing Dr","","262-555-0112","2013-02-12","5-10 Miles"
"11020","53","AW00011020","","Jordan","C","King","0","1984-03-19","S","","M","jordan73@adventure-works.com","40000.0000","0","0","High School","Educación secundaria","Bac + 2","Skilled Manual","Obrero especializado","Technicien","0","2","7156 Rose Dr.","","550-555-0163","2012-12-29","1-2 Miles"
"11021","536","AW00011021","","Destiny","","Wilson","0","1984-03-02","S","","F","destiny7@adventure-works.com","40000.0000","0","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual","Obrero especializado","Technicien","0","1","8148 W. Lake Dr.","","622-555-0158","2013-01-23","1-2 Miles"
"11022","609","AW00011022","","Ethan","G","Zhang","0","1984-04-10","M","","M","ethan20@adventure-works.com","40000.0000","0","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual","Obrero especializado","Technicien","1","1","1769 Nicholas Drive","","589-555-0185","2013-01-20","5-10 Miles"
"11023","298","AW00011023","","Seth","M","Edwards","0","1984-04-09","M","","M","seth46@adventure-works.com","40000.0000","0","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual","Obrero especializado","Technicien","1","1","4499 Valley Crest","","452-555-0188","2013-02-17","1-2 Miles"
"11024","311","AW00011024","","Russell","","Xie","0","1984-03-16","M","","M","russell7@adventure-works.com","60000.0000","0","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual","Obrero especializado","Technicien","1","2","8734 Oxford Place","","746-555-0186","2013-06-27","5-10 Miles"
"11025","24","AW00011025","","Alejandro","","Beck","0","1951-06-22","M","","M","alejandro45@adventure-works.com","10000.0000","2","1","Partial High School","Educación secundaria (en curso)","Niveau bac","Clerical","Administrativo","Employé","1","2","2596 Franklin Canyon Road","","1 (11) 500 555-0178","2011-01-06","1-2 Miles"
"11026","4","AW00011026","","Harold","","Sai","0","1951-10-01","S","","M","harold3@adventure-works.com","30000.0000","2","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé","0","2","8211 Leeds Ct.","","1 (11) 500 555-0131","2011-01-23","1-2 Miles"
"11027","40","AW00011027","","Jessie","R","Zhao","0","1952-06-05","M","","M","jessie16@adventure-works.com","30000.0000","2","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé","1","2","213 Valencia Place","","1 (11) 500 555-0184","2011-01-16","5-10 Miles"
"11028","17","AW00011028","","Jill","","Jimenez","0","1951-10-09","M","","F","jill13@adventure-works.com","30000.0000","2","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé","1","2","9111 Rose Ann Ave","","1 (11) 500 555-0116","2011-01-26","1-2 Miles"
"11029","32","AW00011029","","Jimmy","L","Moreno","0","1952-06-19","M","","M","jimmy9@adventure-works.com","30000.0000","2","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé","1","2","6385 Mark Twain","","1 (11) 500 555-0146","2011-01-19","1-2 Miles"
"11030","28","AW00011030","","Bethany","G","Yuan","0","1958-02-18","M","","F","bethany10@adventure-works.com","10000.0000","2","1","Partial High School","Educación secundaria (en curso)","Niveau bac","Clerical","Administrativo","Employé","1","2","636 Vine Hill Way","","1 (11) 500 555-0182","2011-02-05","1-2 Miles"
"11031","8","AW00011031","","Theresa","G","Ramos","0","1953-02-18","M","","F","theresa13@adventure-works.com","20000.0000","4","0","High School","Educación secundaria","Bac + 2","Skilled Manual","Obrero especializado","Technicien","1","2","6465 Detroit Ave.","","1 (11) 500 555-0195","2011-02-01","1-2 Miles"
"11032","35","AW00011032","","Denise","","Stone","0","1952-12-08","M","","F","denise10@adventure-works.com","20000.0000","4","0","High School","Educación secundaria","Bac + 2","Skilled Manual","Obrero especializado","Technicien","1","2","626 Bentley Street","","1 (11) 500 555-0169","2011-02-18","1-2 Miles"
"11033","9","AW00011033","","Jaime","","Nath","0","1958-09-19","M","","M","jaime41@adventure-works.com","20000.0000","4","0","High School","Educación secundaria","Bac + 2","Skilled Manual","Obrero especializado","Technicien","1","2","5927 Rainbow Dr","","1 (11) 500 555-0137","2011-02-15","5-10 Miles"
"11034","12","AW00011034","","Ebony","","Gonzalez","0","1952-12-16","M","","F","ebony19@adventure-works.com","20000.0000","4","0","High School","Educación secundaria","Bac + 2","Skilled Manual","Obrero especializado","Technicien","1","2","5167 Condor Place","","1 (11) 500 555-0136","2011-02-01","5-10 Miles"
"11035","33","AW00011035","","Wendy","","Dominguez","0","1953-08-23","M","","F","wendy12@adventure-works.com","10000.0000","2","1","Partial High School","Educación secundaria (en curso)","Niveau bac","Clerical","Administrativo","Employé","1","2","1873 Mt. Whitney Dr","","1 (11) 500 555-0177","2011-02-06","1-2 Miles"
"11036","343","AW00011036","","Jennifer","C","Russell","0","1984-06-16","M","","F","jennifer93@adventure-works.com","60000.0000","0","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual","Obrero especializado","Technicien","1","2","3981 Augustine Drive","","115-555-0183","2013-01-22","1-2 Miles"
"11037","49","AW00011037","","Chloe","M","Garcia","0","1983-05-27","S","","F","chloe27@adventure-works.com","40000.0000","0","0","Partial High School","Educación secundaria (en curso)","Niveau bac","Clerical","Administrativo","Employé","0","2","8915 Woodside Way","","229-555-0112","2013-01-20","5-10 Miles"
"11038","6","AW00011038","","Diana","F","Hernandez","0","1953-09-20","M","","F","diana2@adventure-works.com","10000.0000","2","1","Partial High School","Educación secundaria (en curso)","Niveau bac","Clerical","Administrativo","Employé","1","2","8357 Sandy Cove Lane","","1 (11) 500 555-0114","2011-02-07","5-10 Miles"
"11039","19","AW00011039","","Marc","J","Martin","0","1954-06-16","M","","M","marc3@adventure-works.com","30000.0000","3","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé","1","2","9353 Creekside Dr.","","1 (11) 500 555-0183","2011-02-07","5-10 Miles"
"11040","642","AW00011040","","Jesse","","Murphy","0","1983-01-29","M","","M","jesse15@adventure-works.com","30000.0000","0","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual","Obrero especializado","Technicien","1","2","3350 Kingswood Circle","","961-555-0176","2013-04-03","1-2 Miles"
"11041","325","AW00011041","","Amanda","M","Carter","0","1983-04-15","M","","F","amanda53@adventure-works.com","60000.0000","0","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual","Obrero especializado","Technicien","1","2","5826 Escobar","","295-555-0145","2013-01-14","1-2 Miles"
"11042","338","AW00011042","","Megan","J","Sanchez","0","1982-12-11","M","","F","megan28@adventure-works.com","70000.0000","0","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual","Obrero especializado","Technicien","1","2","1397 Paraiso Ct.","","404-555-0199","2013-01-21","0-1 Miles"
"11043","325","AW00011043","","Nathan","M","Simmons","0","1981-08-23","M","","M","nathan11@adventure-works.com","60000.0000","0","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual","Obrero especializado","Technicien","1","2","1170 Shaw Rd","","296-555-0181","2013-05-08","5-10 Miles"
